0,1,2,3,4,5,6,7,8,9
20197397,나의 청춘은 너의 것,我的青春都是你,Love the Way You Are,"[{'auditNo': '2019-MF01697', 'watchGradeNm': '12세이상관람가'}]",20200429,2019,91,[{'genreNm': '멜로/로맨스'}],"[{'peopleNm': '주동', 'peopleNmEn': 'Tong Zhou'}, {'peopleNm': '대몽영', 'peopleNmEn': 'Mengying Dai'}]"
20181685,호텔 레이크,,,"[{'auditNo': '2020-MF00720', 'watchGradeNm': '15세이상관람가'}]",20200429,2020,100,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '윤은경', 'peopleNmEn': ''}]"
20192399,1917,,,"[{'auditNo': '2020-MF00124', 'watchGradeNm': '15세이상관람가'}]",20200219,2019,119,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]","[{'peopleNm': '샘 멘데스', 'peopleNmEn': 'Sam Mendes'}]"
20206441,마이 스파이,,My Spy,"[{'auditNo': '2020-MF00516 ', 'watchGradeNm': '12세이상관람가'}]",20200429,2020,100,"[{'genreNm': '액션'}, {'genreNm': '코미디'}]","[{'peopleNm': '피터 시걸', 'peopleNmEn': 'Peter Segal'}]"
20167904,라라랜드,,LA LA LAND,"[{'auditNo': '2016-MF01848', 'watchGradeNm': '12세이상관람가'}]",20161207,2016,127,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '데이미언 셔젤', 'peopleNmEn': 'Damien Chazelle'}]"
20205402,트롤: 월드 투어,,Trolls World Tour,"[{'auditNo': '2020-MF00557 ', 'watchGradeNm': '전체관람가'}]",20200429,2020,90,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]","[{'peopleNm': '월트 도른', 'peopleNmEn': 'Walt Dohrn'}, {'peopleNm': '데이빗 P.스미스', 'peopleNmEn': 'David P. Smith'}]"
20197397,나의 청춘은 너의 것,我的青春都是你,Love the Way You Are,"[{'auditNo': '2019-MF01697', 'watchGradeNm': '12세이상관람가'}]",20200429,2019,91,[{'genreNm': '멜로/로맨스'}],"[{'peopleNm': '주동', 'peopleNmEn': 'Tong Zhou'}, {'peopleNm': '대몽영', 'peopleNmEn': 'Mengying Dai'}]"
20181685,호텔 레이크,,,"[{'auditNo': '2020-MF00720', 'watchGradeNm': '15세이상관람가'}]",20200429,2020,100,[{'genreNm': '공포(호러)'}],"[{'peopleNm': '윤은경', 'peopleNmEn': ''}]"
20173226,패왕별희 디 오리지널,,Farewell My Concubine,"[{'auditNo': '2016-MF01276', 'watchGradeNm': '15세이상관람가'}]",20170330,1993,171,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '첸 카이거', 'peopleNmEn': 'Kaige Chen'}]"
20207722,저 산 너머,,,"[{'auditNo': '2020-MF00677', 'watchGradeNm': '12세이상관람가'}]",20200430,2019,111,[{'genreNm': '드라마'}],"[{'peopleNm': '최종태', 'peopleNmEn': 'CHOI Jong-tae'}]"
20206441,마이 스파이,,My Spy,"[{'auditNo': '2020-MF00516 ', 'watchGradeNm': '12세이상관람가'}]",20200429,2020,100,"[{'genreNm': '액션'}, {'genreNm': '코미디'}]","[{'peopleNm': '피터 시걸', 'peopleNmEn': 'Peter Segal'}]"
20184889,어벤져스: 엔드게임,,Avengers: Endgame,"[{'auditNo': '2019-MF00676', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2019-MF00709', 'watchGradeNm': '12세이상관람가'}]",20190424,2018,180,"[{'genreNm': '액션'}, {'genreNm': 'SF'}]","[{'peopleNm': '안소니 루소', 'peopleNmEn': 'Anthony Russo'}, {'peopleNm': '조 루소', 'peopleNmEn': 'Joe Russo'}]"
20192399,1917,,,"[{'auditNo': '2020-MF00124', 'watchGradeNm': '15세이상관람가'}]",20200219,2019,119,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]","[{'peopleNm': '샘 멘데스', 'peopleNmEn': 'Sam Mendes'}]"
20167904,라라랜드,,LA LA LAND,"[{'auditNo': '2016-MF01848', 'watchGradeNm': '12세이상관람가'}]",20161207,2016,127,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '데이미언 셔젤', 'peopleNmEn': 'Damien Chazelle'}]"
20177478,어벤져스: 인피니티 워,,Avengers: Infinity War,"[{'auditNo': '2018-MF00679', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2018-MF00731', 'watchGradeNm': '12세이상관람가'}]",20180425,2018,149,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]","[{'peopleNm': '안소니 루소', 'peopleNmEn': 'Anthony Russo'}, {'peopleNm': '조 루소', 'peopleNmEn': 'Joe Russo'}]"
20192399,1917,,,"[{'auditNo': '2020-MF00124', 'watchGradeNm': '15세이상관람가'}]",20200219,2019,119,"[{'genreNm': '드라마'}, {'genreNm': '전쟁'}]","[{'peopleNm': '샘 멘데스', 'peopleNmEn': 'Sam Mendes'}]"
20167904,라라랜드,,LA LA LAND,"[{'auditNo': '2016-MF01848', 'watchGradeNm': '12세이상관람가'}]",20161207,2016,127,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '데이미언 셔젤', 'peopleNmEn': 'Damien Chazelle'}]"
20124721,어벤져스,,The Avengers,"[{'auditNo': '2012-F248', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2012-F272', 'watchGradeNm': '12세이상관람가'}]",20120426,2012,142,"[{'genreNm': '액션'}, {'genreNm': 'SF'}]","[{'peopleNm': '조스 웨던', 'peopleNmEn': 'Joss Whedon'}]"
20196716,유령선,,Ghost Ship,"[{'auditNo': '2019-MF02273 ', 'watchGradeNm': '12세이상관람가'}]",20200415,2019,48,[{'genreNm': '다큐멘터리'}],"[{'peopleNm': '김지영', 'peopleNmEn': 'KIM Ji-young'}]"
20206865,애프터 웨딩 인 뉴욕,,After the Wedding,"[{'auditNo': '2020-MF00656', 'watchGradeNm': '12세이상관람가'}]",20200423,2019,111,[{'genreNm': '드라마'}],"[{'peopleNm': '바트 프룬디치', 'peopleNmEn': 'Bart Freundlich'}]"
20148493,어벤져스: 에이지 오브 울트론,,The Avengers: Age of Ultron,"[{'auditNo': '2015-MF00394 ', 'watchGradeNm': '12세이상관람가'}, {'auditNo': '2015-MF00425 ', 'watchGradeNm': '12세이상관람가'}]",20150423,2014,141,"[{'genreNm': '액션'}, {'genreNm': '어드벤처'}, {'genreNm': '판타지'}, {'genreNm': 'SF'}]","[{'peopleNm': '조스 웨던', 'peopleNmEn': 'Joss Whedon'}]"
20206190,서치 아웃,,Search Out,"[{'auditNo': '2020-MF00452 ', 'watchGradeNm': '15세이상관람가'}]",20200415,2019,92,[{'genreNm': '스릴러'}],"[{'peopleNm': '곽정', 'peopleNmEn': 'KWAK Jung'}]"
19888010,시네마 천국,Nuovo Cinema Paradiso,Cinema Paradiso,"[{'auditNo': '2013-MF00606 ', 'watchGradeNm': '전체관람가'}, {'auditNo': '89-397', 'watchGradeNm': '전체관람가'}]",19900707,1988,124,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '쥬세페 토르나토레', 'peopleNmEn': 'Giuseppe Tornatore'}]"
